hgnc_id	symbol	name	entrez_id	ensembl_gene_id	uniprot_ids
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	56476	ENSG00000274099	
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	728248	ENSG00000261524	
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	100132289	ENSG00000260053	
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	8647	ENSG00000073734	O95342
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	4363	ENSG00000103222	P33527
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	1244	ENSG00000023839	Q92887
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	8714	ENSG00000108846	O15438
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)	10257	ENSG00000125257	O15439
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	10057	ENSG00000114770	O15440
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	100873982	ENSG00000223882	
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	368	ENSG00000091262	O95255
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	653190	ENSG00000256340	
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	730013	ENSG00000255277	
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	6833	ENSG00000006071	Q09428
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	10060	ENSG00000069431	O60706
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	89845	ENSG00000124574	Q5T3U5
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	85320	ENSG00000121270	Q96J66
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	94160	ENSG00000140798	Q96J65
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	150000	ENSG00000243064	
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	215	ENSG00000101986	P33897
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	23785		
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	26983	ENSG00000215151	
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	26982	ENSG00000261233	
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	26957	ENSG00000225293	
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	642762	ENSG00000214330	
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	225	ENSG00000173208	Q9UBJ2
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	5825	ENSG00000117528	P28288
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	5826	ENSG00000119688	O14678
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	6059	ENSG00000164163	P61221
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	23	ENSG00000204574	Q8NE71
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript	107986587		
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	10061	ENSG00000033050	Q9UG63
HGNC:54751	ABCF2-H2BK1	ABCF2-H2BK1 readthrough	114483834	ENSG00000285292	
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	344653	ENSG00000242159	
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	100422059	ENSG00000228769	
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	55324	ENSG00000161204	Q9NUQ8
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	9619	ENSG00000160179	P45844
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	9429	ENSG00000118777	Q9UNQ0
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	64137	ENSG00000172350	Q9H172
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	64240	ENSG00000138075	Q9H222
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	64241	ENSG00000143921	Q9H221
HGNC:17553	ABHD1	abhydrolase domain containing 1	84696	ENSG00000143994	Q96SE0
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	11057	ENSG00000140526	P08910
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase	171586	ENSG00000158201	Q8WU67
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	63874	ENSG00000100439	Q8TB40
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	51099	ENSG00000011198	Q8WTS1
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	57406	ENSG00000163686	Q9BV23
HGNC:23759	ABHD8	abhydrolase domain containing 8	79575	ENSG00000127220	Q96I13
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase	55347	ENSG00000144827	Q9NUJ1
HGNC:16407	ABHD11	abhydrolase domain containing 11	83451	ENSG00000106077	Q8NFV4
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	26090	ENSG00000100997	Q8N2K0
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	145447	ENSG00000131969	Q7Z5M8
HGNC:20293	ABHD13	abhydrolase domain containing 13	84945	ENSG00000139826	Q7L211
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	25864	ENSG00000248487	Q9BUJ0
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	100526760	ENSG00000114786	
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	84836	ENSG00000114779	Q96IU4
HGNC:26971	ABHD15	abhydrolase domain containing 15	116236	ENSG00000168792	Q6UXT9
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	104355133	ENSG00000264031	
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase	7920	ENSG00000204427	O95870
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	140701	ENSG00000183260	Q9H3Z7
HGNC:58392	ABHD16B-AS1	ABHD16B antisense RNA 1	112268269	ENSG00000268858	
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	81926	ENSG00000129968	Q96GS6
HGNC:28394	ABHD17AP1	ABHD17A pseudogene 1	728917	ENSG00000198658	
HGNC:34041	ABHD17AP3	ABHD17A pseudogene 3	648359	ENSG00000250536	
HGNC:34042	ABHD17AP4	ABHD17A pseudogene 4	729495	ENSG00000229107	
HGNC:34043	ABHD17AP5	ABHD17A pseudogene 5	91219	ENSG00000263366	
HGNC:34044	ABHD17AP6	ABHD17A pseudogene 6	644988	ENSG00000226981	
HGNC:38508	ABHD17AP7	ABHD17A pseudogene 7	100133212	ENSG00000260864	
HGNC:38509	ABHD17AP8	ABHD17A pseudogene 8	647144	ENSG00000260540	
HGNC:38510	ABHD17AP9	ABHD17A pseudogene 9	100132251	ENSG00000261536	
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	51104	ENSG00000107362	Q5VST6
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	58489	ENSG00000136379	Q6PCB6
HGNC:26111	ABHD18	abhydrolase domain containing 18	80167	ENSG00000164074	Q0P651
HGNC:11320	ABI1	abl interactor 1	10006	ENSG00000136754	Q8IZP0
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	326268	ENSG00000271484	
HGNC:24011	ABI2	abl interactor 2	10152	ENSG00000138443	Q9NYB9
HGNC:29859	ABI3	ABI family member 3	51225	ENSG00000108798	Q9P2A4
HGNC:17265	ABI3BP	ABI family member 3 binding protein	25890	ENSG00000154175	Q7Z7G0
HGNC:1364	ABITRAM	actin binding transcription modulator	54942	ENSG00000119328	Q9NX38
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1	390403	ENSG00000251106	
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	ENSG00000097007	P00519
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	ENSG00000143322	P42684
HGNC:78	ABLIM1	actin binding LIM protein 1	3983	ENSG00000099204	O14639
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	84448	ENSG00000163995	Q6H8Q1
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	22885	ENSG00000173210	O94929
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	28	ENSG00000175164	P16442
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	29	ENSG00000159842	Q12979
HGNC:55674	ABR-AS1	ABR antisense RNA 1	105371479	ENSG00000235361	
HGNC:30655	ABRA	actin binding Rho activating protein	137735	ENSG00000174429	Q8N0Z2
HGNC:21230	ABRACL	ABRA C-terminal like	58527	ENSG00000146386	Q9P1F3
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	84142	ENSG00000163322	Q6UWZ7
HGNC:56461	ABRAXAS1P1	ABRAXAS1 pseudogene 1	100421580	ENSG00000213431	
HGNC:56462	ABRAXAS1P2	ABRAXAS1 pseudogene 2	100133073	ENSG00000253384	
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	23172	ENSG00000165660	Q15018
HGNC:17369	ABT1	activator of basal transcription 1	29777	ENSG00000146109	Q9ULW3
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	100420695	ENSG00000250496	
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	80325	ENSG00000114626	Q969K4
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	25841	ENSG00000166016	Q8N961
HGNC:23844	ABTB3	ankyrin repeat and BTB domain containing 3	121551	ENSG00000151136	A6QL63
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	30	ENSG00000060971	P09110
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	10449	ENSG00000167315	P42765
HGNC:55880	ACAA2P1	ACAA2 pseudogene 1	100420869	ENSG00000233585	
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	31	ENSG00000278540	Q13085
HGNC:85	ACACB	acetyl-CoA carboxylase beta	32	ENSG00000076555	O00763
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	27034	ENSG00000151498	Q9UKU7
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	28976	ENSG00000177646	Q9H845
HGNC:56086	ACAD9-DT	ACAD9 divergent transcript	123706524	ENSG00000287110	
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	80724	ENSG00000111271	Q6JQN1
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	84129	ENSG00000240303	Q709F0
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	33	ENSG00000115361	P28330
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	34	ENSG00000117054	P11310
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	35	ENSG00000122971	P16219
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	36	ENSG00000196177	P45954
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	37	ENSG00000072778	P49748
HGNC:319	ACAN	aggrecan	176	ENSG00000157766	P16112
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	ENSG00000072818	Q15027
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	23527	ENSG00000114331	Q15057
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1	100874306	ENSG00000229325	
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	116983	ENSG00000131584	Q96P50
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	38	ENSG00000075239	P24752
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	39	ENSG00000120437	Q9BWD1
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	64746	ENSG00000182827	Q9H3P7
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	107985353	ENSG00000234478	
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	79777	ENSG00000181513	Q8NC06
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	91452	ENSG00000107897	Q5T8D3
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	84320	ENSG00000230124	Q9BR61
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	414149	ENSG00000176244	Q8N6N7
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680	ENSG00000110455	Q96QU6
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110	ENSG00000205126	Q4AC99
HGNC:56899	ACCSLP1	ACCSL pseudogene 1	100422646	ENSG00000230570	
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	65057	ENSG00000102977	Q96AP0
HGNC:2707	ACE	angiotensin I converting enzyme	1636	ENSG00000159640	P12821
HGNC:13557	ACE2	angiotensin converting enzyme 2	59272	ENSG00000130234	Q9BYF1
HGNC:56255	ACE2-DT	ACE2 divergent transcript	104798195	ENSG00000225833	
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene	100129123	ENSG00000224353	
HGNC:18356	ACER1	alkaline ceramidase 1	125981	ENSG00000167769	Q8TDN7
HGNC:23675	ACER2	alkaline ceramidase 2	340485	ENSG00000177076	Q5QJU3
HGNC:54674	ACER2P1	ACER2 pseudogene 1	645978	ENSG00000180105	
HGNC:16066	ACER3	alkaline ceramidase 3	55331	ENSG00000078124	Q9NUN7
HGNC:58067	ACER3-AS1	ACER antisense RNA 1	124902721	ENSG00000254988	
HGNC:108	ACHE	acetylcholinesterase (Yt blood group)	43	ENSG00000087085	P22303
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	22985	ENSG00000100813	Q9UKV3
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532	ENSG00000213088	Q16570
HGNC:1565	ACKR2	atypical chemokine receptor 2	1238	ENSG00000144648	O00590
HGNC:23692	ACKR3	atypical chemokine receptor 3	57007	ENSG00000144476	P25106
HGNC:1611	ACKR4	atypical chemokine receptor 4	51554	ENSG00000129048	Q9NPB9
HGNC:21142	ACKR4P1	ACKR4 pseudogene 1	285737	ENSG00000225415	
HGNC:13708	ACKR5	atypical chemokine receptor 5	11318	ENSG00000166856	O15218
HGNC:115	ACLY	ATP citrate lyase	47	ENSG00000131473	P53396
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	130013	ENSG00000153086	Q8TDX5
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase, pseudogene	347275	ENSG00000227411	
HGNC:117	ACO1	aconitase 1	48	ENSG00000122729	P21399
HGNC:118	ACO2	aconitase 2	50	ENSG00000100412	Q99798
HGNC:56989	ACO2P1	ACO2 pseudogene 1	441996	ENSG00000235485	
HGNC:56990	ACO2P2	ACO2 pseudogene 2	343508	ENSG00000235371	
HGNC:33904	ACOD1	aconitate decarboxylase 1	730249	ENSG00000102794	A6NK06
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	641371	ENSG00000184227	Q86TX2
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	10965	ENSG00000119673	P49753
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	122970	ENSG00000177465	Q8N9L9
HGNC:58578	ACOT4P1	ACOT4 pseudogene 1	644189	ENSG00000267142	
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	641372	ENSG00000205669	Q3I5F7
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	11332	ENSG00000097021	O00154
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	10005	ENSG00000101473	O14734
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	23597	ENSG00000123130	Q9Y305
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	26027	ENSG00000162390	Q8WXI4
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	134526	ENSG00000172497	Q8WYK0
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	55856	ENSG00000112304	Q9NPJ3
HGNC:119	ACOX1	acyl-CoA oxidase 1	51	ENSG00000161533	Q15067
HGNC:120	ACOX2	acyl-CoA oxidase 2	8309	ENSG00000168306	Q99424
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	ENSG00000087008	O15254
HGNC:25621	ACOXL	acyl-CoA oxidase like	55289	ENSG00000153093	Q9NUZ1
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	400997	ENSG00000204581	
HGNC:122	ACP1	acid phosphatase 1	52	ENSG00000143727	P24666
HGNC:123	ACP2	acid phosphatase 2, lysosomal	53	ENSG00000134575	P11117
HGNC:125	ACP3	acid phosphatase 3	55	ENSG00000014257	P15309
HGNC:14376	ACP4	acid phosphatase 4	93650	ENSG00000142513	Q9BZG2
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	54	ENSG00000102575	P13686
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	51205	ENSG00000162836	Q9NPH0
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	390928	ENSG00000183760	Q6ZNF0
HGNC:126	ACR	acrosin	49	ENSG00000100312	P10323
HGNC:17195	ACRBP	acrosin binding protein	84519	ENSG00000111644	Q8NEB7
HGNC:54745	ACRP1	ACR pseudogene 1	645529	ENSG00000175509	
HGNC:127	ACRV1	acrosomal vesicle protein 1	56	ENSG00000134940	P26436
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205	ENSG00000103740	Q96GR2
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	81616	ENSG00000130377	Q5FVE4
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	80221	ENSG00000167107	Q96CM8
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	197322	ENSG00000176715	Q4G176
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	2180	ENSG00000151726	P33121
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	2181	ENSG00000123983	O95573
HGNC:40227	ACSL3-AS1	ACSL3 antisense RNA 1	105373904	ENSG00000234193	
HGNC:56529	ACSL3P1	ACSL3 pseudogene 1	100421637	ENSG00000244062	
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	2182	ENSG00000068366	O60488
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	51703	ENSG00000197142	Q9ULC5
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	23305	ENSG00000164398	Q9UKU0
HGNC:40772	ACSL6-AS1	ACSL6 antisense RNA 1	101927693	ENSG00000223548	
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	116285	ENSG00000166743	Q08AH1
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	123876	ENSG00000183747	Q08AH3
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	348158	ENSG00000066813	Q68CK6
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	6296	ENSG00000005187	Q53FZ2
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4	341392	ENSG00000215009	P0C7M7
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	54988	ENSG00000183549	Q6NUN0
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	100421779	ENSG00000260762	
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	142827	ENSG00000173124	Q6P461
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	84532	ENSG00000154930	Q9NUB1
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	55902	ENSG00000131069	Q9NR19
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	79611	ENSG00000111058	Q9H6R3
HGNC:58286	ACSS3-AS1	ACSS3 antisense RNA 1	107984535	ENSG00000258026	
HGNC:129	ACTA1	actin alpha 1, skeletal muscle	58	ENSG00000143632	P68133
HGNC:130	ACTA2	actin alpha 2, smooth muscle	59	ENSG00000107796	P62736
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	100132116	ENSG00000180139	
HGNC:132	ACTB	actin beta	60	ENSG00000075624	P60709
HGNC:17780	ACTBL2	actin beta like 2	345651	ENSG00000169067	Q562R1
HGNC:134	ACTBP1	ACTB pseudogene 1	643309	ENSG00000229145	
HGNC:135	ACTBP2	ACTB pseudogene 2	62	ENSG00000213763	
HGNC:136	ACTBP3	ACTB pseudogene 3	63		
HGNC:137	ACTBP4	ACTB pseudogene 4	64	ENSG00000286676	
HGNC:139	ACTBP6	ACTB pseudogene 6	66	ENSG00000203413	
HGNC:140	ACTBP7	ACTB pseudogene 7	67	ENSG00000185607	
HGNC:141	ACTBP8	ACTB pseudogene 8	68	ENSG00000220267	
HGNC:142	ACTBP9	ACTB pseudogene 9	69	ENSG00000266920	
HGNC:31819	ACTBP10	ACTB pseudogene 10	446207		
HGNC:33971	ACTBP11	ACTB pseudogene 11	644220	ENSG00000188460	
HGNC:150	ACTBP12	ACTB pseudogene 12	100462767	ENSG00000233125	
HGNC:45086	ACTBP14	ACTB pseudogene 14	389976	ENSG00000229001	
